Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
(per 100,000)",Mean age (years),Median age (years),,ICD10 codes
Actual,Melanoma of the skin,1997,Males,70–74,79,28.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,75–79,76,40.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,80–84,65,60.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,85–89,17,36.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,90+,6,36.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1997,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,25–29,11,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,30–34,13,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,35–39,21,2.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,40–44,22,3.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,45–49,41,6.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,50–54,48,8.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,55–59,38,8.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,60–64,73,19.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,65–69,73,21.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,70–74,110,38.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,75–79,75,37.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,80–84,57,51.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,85–89,25,49.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,90+,15,85.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1998,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,20–24,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,30–34,10,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,35–39,17,2.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,40–44,27,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,45–49,37,5.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,50–54,45,7.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,55–59,69,14.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,60–64,51,13.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,65–69,73,22.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,70–74,93,31.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,75–79,83,39.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,80–84,71,63.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,85–89,40,74.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,90+,15,79.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1999,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,25–29,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,30–34,8,1.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,35–39,16,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,40–44,24,3.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,45–49,28,4.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,50–54,43,6.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,55–59,47,9.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,60–64,62,15.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,65–69,61,18.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,70–74,110,37.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,75–79,95,43.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,80–84,73,61.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,85–89,30,53.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,90+,13,63.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2000,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,20–24,7,1.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,30–34,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,35–39,23,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,40–44,31,4.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,45–49,32,4.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,50–54,45,6.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,55–59,58,11.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,60–64,68,16.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,65–69,73,21.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,70–74,112,37.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,75–79,115,50.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,80–84,52,40.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,85–89,29,49.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,90+,23,103.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2001,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,20–24,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,25–29,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,30–34,11,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,35–39,16,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,40–44,33,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,45–49,36,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,50–54,45,7.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,55–59,60,11.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,60–64,63,14.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,65–69,89,26.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,70–74,102,33.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,75–79,96,41.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,80–84,84,61.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,85–89,58,94.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,90+,19,81.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2002,Males,Unknown,1,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,25–29,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,30–34,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,35–39,17,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,40–44,29,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,45–49,44,6.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,50–54,53,8.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,55–59,67,11.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,60–64,76,17.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,65–69,88,25.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,70–74,91,30.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,75–79,111,46.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,80–84,102,70.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,85–89,58,92.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,90+,14,57.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2003,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,20–24,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,25–29,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,30–34,13,1.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,35–39,16,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,40–44,27,3.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,45–49,45,6.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,50–54,76,11.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,55–59,76,12.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,60–64,70,15.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,65–69,89,24.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,70–74,81,27.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,75–79,128,52.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,80–84,105,69.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,85–89,59,92.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,90+,19,74.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2004,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,20–24,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,25–29,10,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,30–34,18,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,35–39,12,1.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,40–44,35,4.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,45–49,31,4.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,50–54,53,8.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,55–59,91,14.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,60–64,79,16.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,65–69,89,23.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,70–74,107,36.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,75–79,119,48.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,80–84,123,77.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,85–89,65,93.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,90+,28,102.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2005,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,05–09,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,20–24,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,30–34,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,35–39,17,2.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,40–44,26,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,45–49,35,4.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,50–54,36,5.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,55–59,58,9.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,60–64,73,14.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,65–69,85,22.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,70–74,109,36.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,75–79,133,53.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,80–84,112,68.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,85–89,64,85.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,90+,28,97.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2006,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,20–24,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,25–29,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,30–34,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,35–39,20,2.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,40–44,25,3.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,45–49,48,6.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,50–54,49,7.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,55–59,85,13.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,60–64,95,18.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,65–69,80,20.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,70–74,101,32.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,75–79,141,56.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,80–84,119,69.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,85–89,78,96.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,90+,34,112.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2007,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,20–24,4,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,25–29,5,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,30–34,13,1.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,35–39,19,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,40–44,23,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,45–49,31,4.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,50–54,43,6.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,55–59,91,14.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,60–64,88,15.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,65–69,114,27.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,70–74,111,34.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,75–79,146,58.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,80–84,142,80.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,85–89,78,90.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,90+,33,105.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2008,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,05–09,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,25–29,3,0.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,30–34,15,2.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,35–39,16,2.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,40–44,24,3.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,45–49,34,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,50–54,56,7.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,55–59,69,10.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,60–64,96,16.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,65–69,112,26.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,70–74,132,40.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,75–79,123,48.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,80–84,151,83.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,85–89,79,86.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,90+,36,110.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2009,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,00–04,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,20–24,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,25–29,6,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,30–34,10,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,35–39,19,2.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,40–44,17,2.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,45–49,37,4.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,50–54,47,6.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,55–59,77,11.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,60–64,112,18.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,65–69,115,25.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,70–74,128,37.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,75–79,122,48.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,80–84,147,78.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,85–89,105,109.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,90+,40,113.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2010,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,25–29,10,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,30–34,10,1.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,35–39,12,1.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,40–44,31,3.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,45–49,34,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,50–54,54,7.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,55–59,80,12.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,60–64,115,18.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,65–69,112,23.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,70–74,141,39.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,75–79,157,60.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,80–84,149,78.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,85–89,109,108.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,90+,60,157.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2011,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,15–19,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,20–24,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,25–29,10,1.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,30–34,7,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,35–39,16,2.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,40–44,15,1.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,45–49,34,4.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,50–54,49,6.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,55–59,61,9.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,60–64,107,17.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,65–69,118,23.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,70–74,148,40.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,75–79,147,55.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,80–84,151,78.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,85–89,118,112.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,90+,59,141.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2012,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,15–19,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,20–24,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,25–29,6,0.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,30–34,7,0.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,35–39,11,1.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,40–44,29,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,2013,Males,45–49,33,4.4,. .,. .,. ., ,C43
